timestamp_greece,rss_MB,MemoryObjectSendStream,MemoryObjectStreamState,Event,_AsyncGeneratorContextManager,_GeneratorContextManager,TaskState
2025-10-26 18:36:00,31.4765625,0,0,0,0,0,0
2025-10-26 18:36:07,31.5,0,0,0,0,0,0
2025-10-26 18:36:15,31.515625,0,0,0,0,0,0
2025-10-26 18:36:22,31.515625,0,0,0,0,0,0
2025-10-26 18:36:30,31.55078125,0,0,0,0,0,0
2025-10-26 18:36:37,31.55859375,0,0,0,0,0,0
2025-10-26 18:36:44,31.55859375,0,0,0,0,0,0
2025-10-26 18:36:52,31.55859375,0,0,0,0,0,0
2025-10-26 18:36:59,31.4921875,0,0,0,0,0,0
2025-10-26 18:37:06,31.4921875,0,0,0,0,0,0
2025-10-26 18:37:14,31.4921875,0,0,0,0,0,0
2025-10-26 18:37:21,31.51171875,0,0,505,0,289,0
2025-10-26 18:37:29,31.515625,0,0,517,0,296,0
2025-10-26 18:37:36,31.515625,0,0,543,0,316,221
2025-10-26 18:37:44,31.515625,0,0,543,0,316,221
2025-10-26 18:37:51,31.51953125,0,0,576,0,316,221
2025-10-26 18:37:58,31.51953125,0,0,576,0,316,221
2025-10-26 18:38:06,31.51953125,0,0,576,0,316,221
2025-10-26 18:38:13,31.5,0,0,576,0,316,221
2025-10-26 18:38:20,31.5,0,0,576,0,316,221
2025-10-26 18:38:28,31.50390625,0,0,576,0,316,221
2025-10-26 18:38:35,31.50390625,0,0,576,0,316,221
2025-10-26 18:38:42,31.50390625,0,0,576,0,316,221
2025-10-26 18:38:50,31.50390625,0,0,576,0,316,221
2025-10-26 18:38:57,31.50390625,0,0,589,0,316,221
2025-10-26 18:39:05,31.5078125,0,0,589,0,316,221
2025-10-26 18:39:12,31.5078125,0,0,589,0,316,221
2025-10-26 18:39:20,31.5078125,0,0,589,0,316,221
2025-10-26 18:39:27,31.5078125,0,0,589,0,316,221
2025-10-26 18:39:34,31.5078125,0,0,589,0,316,221
2025-10-26 18:39:42,31.5078125,0,0,589,0,316,221
2025-10-26 18:39:49,31.5078125,0,0,589,0,316,221
2025-10-26 18:39:56,31.5078125,0,0,589,0,316,221
2025-10-26 18:40:04,31.51171875,0,0,589,0,316,221
2025-10-26 18:40:11,31.51171875,0,0,589,0,316,221
2025-10-26 18:40:18,31.51171875,0,0,589,0,316,221
2025-10-26 18:40:26,31.51171875,0,0,589,0,316,221
2025-10-26 18:40:33,31.51171875,0,0,589,0,316,221
2025-10-26 18:40:40,31.51171875,0,0,589,0,316,221
2025-10-26 18:40:48,31.51171875,0,0,589,0,316,221
2025-10-26 18:40:55,31.62890625,0,0,602,0,316,221
2025-10-26 18:41:02,31.62890625,0,0,602,0,316,221
2025-10-26 18:41:10,31.62890625,0,0,602,0,316,221
2025-10-26 18:41:17,31.6328125,0,0,602,0,316,221
2025-10-26 18:41:24,31.6328125,0,0,602,0,316,221
2025-10-26 18:41:32,31.6328125,0,0,602,0,316,221
2025-10-26 18:41:39,31.6328125,0,0,602,0,316,221
2025-10-26 18:41:46,31.6328125,0,0,602,0,316,221
2025-10-26 18:41:54,31.6328125,0,0,602,0,316,221
2025-10-26 18:42:01,31.6328125,0,0,602,0,316,221
2025-10-26 18:42:18,31.65625,0,0,602,0,316,221
2025-10-26 18:42:25,31.66796875,0,0,602,0,316,221
2025-10-26 18:42:32,31.66796875,0,0,602,0,316,221
2025-10-26 18:42:39,31.63671875,0,0,602,0,316,221
2025-10-26 18:42:47,31.63671875,0,0,602,0,316,221
2025-10-26 18:42:54,31.63671875,0,0,602,0,316,221
2025-10-26 18:43:01,31.63671875,0,0,602,0,316,221
2025-10-26 18:43:09,31.63671875,0,0,602,0,316,221
2025-10-26 18:43:16,31.63671875,0,0,602,0,316,221
2025-10-26 18:43:23,31.63671875,0,0,602,0,316,221
2025-10-26 18:43:31,31.63671875,0,0,602,0,316,221
2025-10-26 18:43:38,31.63671875,0,0,602,0,316,221
2025-10-26 18:43:45,31.63671875,0,0,602,0,316,221
2025-10-26 18:43:52,31.63671875,0,0,602,0,316,221
2025-10-26 18:44:00,31.63671875,0,0,602,0,316,221
2025-10-26 18:44:07,31.63671875,0,0,602,0,316,221
2025-10-26 18:44:14,31.63671875,0,0,602,0,316,221
2025-10-26 18:44:22,31.63671875,0,0,602,0,316,221
2025-10-26 18:44:29,31.63671875,0,0,602,0,316,221
2025-10-26 18:44:36,31.63671875,0,0,602,0,316,221
2025-10-26 18:44:44,31.63671875,0,0,602,0,316,221
2025-10-26 18:44:51,31.63671875,0,0,602,0,316,221
2025-10-26 18:44:58,31.63671875,0,0,602,0,316,221
2025-10-26 18:45:05,31.63671875,0,0,602,0,316,221
2025-10-26 18:45:13,31.63671875,0,0,602,0,316,221
2025-10-26 18:45:20,31.63671875,0,0,602,0,316,221
2025-10-26 18:45:28,31.63671875,0,0,602,0,316,221
2025-10-26 18:45:35,31.63671875,0,0,602,0,316,221
2025-10-26 18:45:42,31.63671875,0,0,602,0,316,221
2025-10-26 18:45:50,31.63671875,0,0,602,0,316,221
2025-10-26 18:45:57,31.6640625,0,0,602,0,316,221
2025-10-26 18:46:04,31.6640625,0,0,62,0,20,221
2025-10-26 18:46:12,31.6640625,0,0,62,0,22,221
2025-10-26 18:46:19,31.6640625,0,0,62,0,22,221
2025-10-26 18:46:26,31.6640625,0,0,70,0,27,21
2025-10-26 18:46:34,31.6640625,0,0,70,0,29,21
2025-10-26 18:46:41,31.6640625,0,0,70,0,29,21
2025-10-26 18:46:48,31.6640625,0,0,70,0,29,21
2025-10-26 18:46:56,31.6640625,0,0,70,0,29,21
2025-10-26 18:47:03,31.6640625,0,0,70,0,29,21
2025-10-26 18:47:10,31.63671875,0,0,70,0,29,21
2025-10-26 18:47:17,31.63671875,0,0,70,0,29,21
2025-10-26 18:47:25,31.63671875,0,0,70,0,29,21
2025-10-26 18:47:32,31.63671875,0,0,70,0,29,21
2025-10-26 18:47:39,31.63671875,0,0,70,0,29,21
2025-10-26 18:47:47,31.63671875,0,0,70,0,29,21
2025-10-26 18:47:54,31.63671875,0,0,70,0,29,21
2025-10-26 18:48:01,31.63671875,0,0,70,0,29,21
2025-10-26 18:48:09,31.63671875,0,0,70,0,29,21
2025-10-26 18:48:16,31.63671875,0,0,70,0,29,21
2025-10-26 18:48:23,31.63671875,0,0,70,0,29,21
2025-10-26 18:48:30,31.63671875,0,0,70,0,29,21
2025-10-26 18:48:38,31.63671875,0,0,70,0,29,21
2025-10-26 18:48:45,31.63671875,0,0,70,0,29,21
2025-10-26 18:48:52,31.63671875,0,0,70,0,29,21
2025-10-26 19:04:38,30.90625,0,0,0,0,0,0
2025-10-26 19:04:44,30.9296875,0,0,0,0,0,0
2025-10-26 19:04:49,30.9296875,0,0,0,0,0,0
2025-10-26 19:04:54,30.9296875,0,0,0,0,0,0
2025-10-26 19:05:00,30.9296875,0,0,0,0,0,0
2025-10-26 19:05:05,30.93359375,0,0,0,0,0,0
2025-10-26 19:05:10,31.0,0,0,0,0,0,0
2025-10-26 19:05:16,31.0,0,0,0,0,0,0
2025-10-26 19:05:21,31.0,0,0,0,0,0,0
2025-10-26 19:05:27,31.00390625,0,0,0,0,0,0
2025-10-26 19:05:32,31.00390625,0,0,0,0,0,0
2025-10-26 19:05:38,31.00390625,0,0,0,0,0,0
2025-10-26 19:05:43,31.00390625,0,0,0,0,0,0
2025-10-26 19:05:48,31.00390625,0,0,0,0,0,0
2025-10-26 19:05:54,31.00390625,0,0,0,0,0,0
2025-10-26 19:05:59,31.00390625,0,0,0,0,0,0
2025-10-26 19:06:04,31.00390625,0,0,0,0,0,0
2025-10-26 19:06:10,31.00390625,0,0,0,0,0,0
2025-10-26 19:06:15,31.00390625,0,0,0,0,0,0
2025-10-26 19:06:20,31.00390625,0,0,0,0,0,0
2025-10-26 19:06:26,31.00390625,0,0,0,0,0,0
2025-10-26 19:06:31,31.00390625,0,0,0,0,0,0
2025-10-26 19:06:37,31.00390625,0,0,0,0,0,0
2025-10-26 19:06:42,31.125,0,0,56,0,0,0
2025-10-26 19:06:47,31.125,0,0,56,0,0,0
2025-10-26 19:06:53,31.125,0,0,56,0,0,0
2025-10-26 19:06:58,31.125,0,0,56,0,0,0
2025-10-26 19:07:03,31.125,0,0,56,0,0,0
2025-10-26 19:07:09,31.125,0,0,56,0,0,0
2025-10-26 19:07:14,31.125,0,0,56,0,0,0
2025-10-26 19:07:19,31.125,0,0,56,0,0,0
2025-10-26 19:07:25,31.125,0,0,56,0,0,0
2025-10-26 19:07:30,31.125,0,0,56,0,0,0
2025-10-26 19:07:36,31.125,0,0,56,0,0,0
2025-10-26 19:07:55,31.140625,0,0,56,0,0,0
2025-10-26 19:08:01,31.140625,0,0,56,0,0,0
2025-10-26 19:08:06,31.140625,0,0,56,0,0,0
2025-10-26 19:08:11,31.140625,0,0,56,0,0,0
2025-10-26 19:08:16,31.140625,0,0,56,0,0,0
2025-10-26 19:08:22,31.140625,0,0,56,0,0,0
2025-10-26 19:08:27,31.10546875,0,0,56,0,0,0
2025-10-26 19:08:32,31.10546875,0,0,56,0,0,0
2025-10-26 19:08:38,31.10546875,0,0,56,0,0,0
2025-10-26 19:08:43,31.10546875,0,0,56,0,0,0
2025-10-26 19:08:48,31.10546875,0,0,56,0,0,0
2025-10-26 19:08:54,31.10546875,0,0,56,0,0,0
2025-10-26 19:08:59,31.10546875,0,0,56,0,0,0
2025-10-26 19:09:04,31.10546875,0,0,56,0,0,0
2025-10-26 19:09:10,31.10546875,0,0,56,0,0,0
2025-10-26 19:09:15,31.10546875,0,0,56,0,0,0
2025-10-26 19:09:20,31.10546875,0,0,56,0,0,0
2025-10-26 19:09:25,31.10546875,0,0,56,0,0,0
2025-10-26 19:09:31,31.10546875,0,0,56,0,0,0
2025-10-26 19:09:36,31.109375,0,0,56,0,0,0
2025-10-26 19:09:42,31.109375,0,0,56,0,0,0
2025-10-26 19:09:47,31.109375,0,0,56,0,0,0
2025-10-26 19:09:52,31.109375,0,0,56,0,0,0
2025-10-26 19:09:58,31.109375,0,0,56,0,0,0
2025-10-26 19:10:03,31.109375,0,0,56,0,0,0
2025-10-26 19:10:08,31.109375,0,0,56,0,0,0
2025-10-26 19:10:14,31.109375,0,0,56,0,0,0
2025-10-26 19:10:19,31.109375,0,0,56,0,0,0
2025-10-26 19:10:25,31.109375,0,0,56,0,0,0
2025-10-26 19:10:30,31.109375,0,0,56,0,0,0
2025-10-26 19:10:35,31.109375,0,0,56,0,0,0
2025-10-26 19:10:41,31.109375,0,0,56,0,0,0
2025-10-26 19:10:46,31.109375,0,0,56,0,0,0
2025-10-26 19:10:52,31.109375,0,0,56,0,0,0
2025-10-26 19:10:57,31.109375,0,0,56,0,0,0
2025-10-26 19:11:02,31.109375,0,0,56,0,0,0
2025-10-26 19:11:08,31.109375,0,0,56,0,0,0
2025-10-26 19:11:13,31.109375,0,0,56,0,0,0
2025-10-26 19:11:18,31.109375,0,0,56,0,0,0
2025-10-26 19:11:24,31.109375,0,0,56,0,0,0
2025-10-26 19:11:29,31.109375,0,0,56,0,0,0
2025-10-26 19:11:34,31.109375,0,0,56,0,0,0
2025-10-26 19:11:39,31.109375,0,0,56,0,0,0
2025-10-26 19:11:45,31.15234375,0,0,56,0,0,0
2025-10-26 19:11:50,31.15234375,0,0,56,0,0,0
2025-10-26 19:11:55,31.15234375,0,0,56,0,0,0
2025-10-26 19:12:01,31.15234375,0,0,56,0,0,0
2025-10-26 19:12:06,31.15234375,0,0,56,0,0,0
2025-10-26 19:12:11,31.15234375,0,0,56,0,0,0
2025-10-26 19:12:17,31.15234375,0,0,56,0,0,0
2025-10-26 19:12:22,31.15234375,0,0,56,0,0,0
2025-10-26 19:12:27,31.15234375,0,0,56,0,0,0
